phone,customerName
40.32.2555,"Atelier graphique"
7025551838,"Signal Gift Stores"
"07-98 9555","Baane Mini Imports"
"(26) 642-7555","Havel & Zbyszek Co"
"+49 69 66 90 2555","Blauer See Auto, Co."
6505555787,"Mini Wheels Co."
"0921-12 3555","Volvo Model Replicas, Co"
"31 12 3555","Danish Wholesale Imports"
6505556809,"Technics Stores Inc."
"+65 224 1555","Handji Gifts& Co"
"+47 2267 3215","Herkku Gifts"
2035557845,"American Souvenirs Inc"
"(1) 356-5555","Porto Imports Co."
20.16.1555,"Daedalus Designs Imports"
"(1) 42.34.2555","La Corne D'abondance, Co."
6175555555,"Cambridge Collectables Co."
2035552570,"Gift Depot Inc."
"+81 06 6342 5555","Osaka Souveniers Co."
2125551500,"Vitachrome Inc."
"90-224 8555","Toys of Finland, Co."
"+353 1862 1555","Clover Collections, Co."
6175558428,"Auto-Moto Classics Inc."
"(171) 555-2282","UK Collectables, Ltd."
"(604) 555-3392","Canadian Gift Exchange Network"
6175557555,"Online Mini Collectables"
6265557265,Toys4GrownUps.com
"+612 9411 1555","Asian Shopping Network, Co"
88.60.1555,"Mini Caravy"
"+852 2251 1555","King Kong Collectables, Co."
"(93) 203 4555","Enaco Distributors"
3105552373,"Boards & Toys Co."
0372-555188,"Natürlich Autos"
"(514) 555-8054","Québec Home Shopping Network"
"(91) 745 6555","ANG Resellers"
"(198) 555-8888",giftsbymail.co.uk
61.77.6555,"Alpha Cognac"
069-0555984,"Messner Shopping Network"
"+33 1 46 62 7555","Lyon Souveniers"
30.59.8555,"Auto Associés & Cie."
"(604) 555-4555","Royal Canadian Collectables, Ltd."
089-0877555,"Franken Gifts, Co"
"+61 2 9495 8555","Souveniers And Things Co."
"+41 26 425 50 01","BG&E Collectables"
"+47 2212 1555","Norway Gifts By Mail, Co."
"+31 20 491 9555","Schuyler Imports"
030-0074555,"Der Hund Imports"
981-443655,"Oulu Toy Supplies, Inc."
"(02) 5554 67","Petit Auto"
5085559555,"Mini Creations Ltd."
"+64 9 312 5555","Down Under Souveniers, Inc"
"(171) 555-0297","Stylish Desk Decors, Co."
2015559350,"Tekni Collectables Inc."
61-7-3844-6555,"Australian Gift Network, Co"
"+358 9 8045 555","Suominen Souveniers"
0555-09555,"Cramer Spezialitäten, Ltd"
2155554695,"Classic Gift Ideas, Inc"
"+34 913 728 555","CAF Imports"
2155554369,"Men 'R' US Retailers, Ltd."
"2967 555","Asian Treasures, Inc."
91.24.4555,"Marseille Mini Autos"
26.47.1555,"Reims Collectables"
"+27 21 550 3555","SAR Distributors, Co"
64-9-3763555,GiftsForHim.com
0251-555259,"Kommission Auto"
6175559555,Gifts4AllAges.com
"(1) 354-2555","Lisboa Souveniers, Inc"
0452-076555,"Precious Collectables"
6175558555,"Collectables For Less Inc."
"(071) 23 67 2555","Royale Belge"
6562-9555,"Salzburg Collectables"
"+63 2 555 3587","Cruz & Sons Co."
"+81 3 3584 0555","Tokyo Collectables, Ltd"
"(1) 47.55.6555","Auto Canal+ Petit"
0711-555361,"Stuttgart Collectable Exchange"
"04 499 9555","Extreme Desk Decorations, Ltd"
" +49 89 61 08 9555","Bavarian Collectables Imports, Co."
2125558493,"Classic Legends Inc."
0342-555176,"Feuer Online Stores, Inc"
2035554407,"Gift Ideas Corp."
4085553659,"The Sharp Gifts Warehouse"
7675-3555,"Mini Auto Werke"
2035559545,"Super Scale Inc."
2125551957,"Microscale Inc."
0241-039123,"Warburg Exchange"
5085552555,FunGiftIdeas.com
"+34 913 728555","Anton Designs, Ltd."
61-9-3844-6555,"Australian Collectables, Ltd"
"+39 022515555","Frau da Collezione"
3105553722,"West Coast Collectables Co."
0621-08555,"Mit Vergnügen & Co."
"+7 812 293 0521","Kremlin Collectables, Co."
"+ 972 9 959 8555","Raanan Stores, Inc"
"(95) 555 82 82","Iberia Gift Imports, Corp."
2155559857,"Motor Mint Distributors Inc."
4155554312,"Signal Collectibles Ltd."
"(171) 555-7555","Double Decker Gift Stores, Ltd"
6175552555,"Diecast Collectables"
